('别惹老实人！砍人甩飞刀，结果反被杀……', '6594746535194395143', '6594746535194395143')
('昆山男子持刀砍人反被砍、洪泽湖2万亩螃蟹灭绝……江苏这一周有啥重要新闻？', '6596957843021103619', '6596957843021103619')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6594973939678577156', '6594973939678577156')
('宝马男下车砍人反被砍，砍人者需要承担相应的法律责任吗？', '6594988593163272456', '6594988593163272456')
('昆山“砍人反被杀”案是否正当防卫引争议', '6595212078720483848', '6595212078720483848')
('宝马纹身男砍人反被砍死，你觉得应该如何定罪？', '6594932783867494660', '6594932783867494660')
('“砍人反被杀”案，杀人者是否“防卫过当”？', '6595532834646000135', '6595532834646000135')
('检察官发话了：“宝马男砍人反被杀”应该被认定为正当防卫', '6595819067519533572', '6595819067519533572')
('昆山“砍人反被杀”案是否正当防卫引争议', '6595305639231095304', '6595305639231095304')
('昆山“砍人反被杀”案是否正当防卫引争议', '6595371050266001928', '6595371050266001928')
('检察官发话了：“宝马男砍人反被杀”应该被认定为正当防卫', '6595827132478259725', '6595827132478259725')
('检察官发话了：“宝马男砍人反被杀”应该被认定为正当防卫', '6595910614344794628', '6595910614344794628')
('普法：“宝马男砍人反被杀”到底是不是正当防卫？', '6595858110592582157', '6595858110592582157')
('“宝马男砍人反被杀”案检察机关提前介入', '6595032076192317956', '6595032076192317956')
('“宝马男 砍人反被杀”案检察机关提前介入', '6595045052882354691', '6595045052882354691')
('“宝马男 砍人反被杀”案检察机关提前介入', '6594978911619121667', '6594978911619121667')
('“宝马男 砍人反被杀”案检察机关提前介入', '6594975499804475918', '6594975499804475918')
('“宝马男 砍人反被杀”案检察机关提前介入', '6594978911619121667', '6594978911619121667')
('昆山男子因遇电动车发生剐蹭，下车持刀砍人反被电动车男子夺刀砍死，砍人者算正当防吗？', '6594935939552772359', '6594935939552772359')
('昆山“砍人反被杀”案是否正当防卫引争议', '6595345209184223757', '6595345209184223757')
('昆山“砍人反被杀”案是否正当防卫引争议', '6595283358178083336', '6595283358178083336')
('昆山“砍人反被杀”案是否正当防卫引争议', '6595864953347899917', '6595864953347899917')
('昆山“砍人反被杀”案是否正当防卫引争议', '6595333993107816963', '6595333993107816963')
('昆山“砍人反被杀”案是否正当防卫引争议', '6595319989232730638', '6595319989232730638')
('“宝马男砍人反被杀”案检察机关提前介入', '6594974671140028932', '6594974671140028932')
('“宝马男砍人反被杀”到底是不是正当防卫？', '6595715625119646222', '6595715625119646222')
('检察官发话了：“宝马男砍人反被杀”应该被认定为正当防卫', '6596894306064138756', '6596894306064138756')
('砍人反被杀：特殊防卫不能有太多限制', '6595430708439679492', '6595430708439679492')
('“宝马男砍人反被杀”案检察机关提前介入', '6595504547051864589', '6595504547051864589')
('“宝马男砍人反被杀”案检察机关提前介入', '6595511741906420227', '6595511741906420227')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6595457124631839245', '6595457124631839245')
('“宝马男砍人反被杀”案检察机关提前介入', '6595059121769153037', '6595059121769153037')
('“宝马男 砍人反被杀”案检察机关提前介入', '6595060558272135683', '6595060558272135683')
('昆山“砍人反被杀”案是否正当防卫引争议', '6595341334083535374', '6595341334083535374')
('昆山“砍人反被杀”案是否正当防卫引争议', '6595445028468818439', '6595445028468818439')
('“宝马男砍人反被杀”到底是不是正当防卫？', '6595813743911764494', '6595813743911764494')
('宝马司机持刀砍人不幸刀子掉落反被砍杀', '6594942955583177220', '6594942955583177220')
('“宝马男砍人反被杀”到底是不是正当防卫？', '6595813743911764494', '6595813743911764494')
('昆山“砍人反被杀”案是否正当防卫引争议', '6595312253807886862', '6595312253807886862')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6595033544328741390', '6595033544328741390')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6594975536852763140', '6594975536852763140')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6595027358686642701', '6595027358686642701')
('男子砍人反被砍，有些律师认为不算正当防卫，你怎么看？', '6595025771528454404', '6595025771528454404')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6595305755929215501', '6595305755929215501')
('昆山“砍人反被杀”案是否正当防卫引争议', '6595326212040557060', '6595326212040557060')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6595312776694989326', '6595312776694989326')
('昆山“反杀砍人者”被指为人和善 同乡拟为其筹钱', '6595448990605509134', '6595448990605509134')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6595319608146657799', '6595319608146657799')
('砍人被反杀！昆山事件背后细节被挖出，被砍轿车司机涉黑？', '6595530980931404295', '6595530980931404295')
('就昆山砍人反被砍事件看：到底是正当防卫还是防卫过当？', '6595104969714565639', '6595104969714565639')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6595441601311408644', '6595441601311408644')
('“宝马男砍人反被杀”案检察机关提前介入', '6594973846774743555', '6594973846774743555')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6595345146303218183', '6595345146303218183')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6595785354635117069', '6595785354635117069')
('“宝马男砍人反被杀”案检察机关提前介入', '6594972699980726787', '6594972699980726787')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6595059895660184067', '6595059895660184067')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6595068971584586253', '6595068971584586253')
('昆山街头砍人案 “路怒”男子提刀下车反被砍死', '6595059302816285187', '6595059302816285187')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6595055459894297095', '6595055459894297095')
('昆山“花臂男砍人反被砍死”电动车主会有什么结果？', '6595085846678864136', '6595085846678864136')
('昆山街头砍人案：争议“正当防卫”更需依法办案', '6595781003732582920', '6595781003732582920')
('宝马男砍人反被砍，怎样才算正当防卫？', '6595061245567566094', '6595061245567566094')
('检察机关提前介入“宝马男砍人反被杀”案：嫌犯已被控制', '6595407832235901453', '6595407832235901453')
('对于昆山宝马男砍人不成反被砍死，大家怎么看？', '6595077469533896973', '6595077469533896973')
('昆山砍人事件，是否正当防卫又惹争议！', '6595808492626379277', '6595808492626379277')
('检察机关提前介入“男子砍人反被杀”案', '6595310729279046151', '6595310729279046151')
('女孩被砍报警1个月无进展 发帖1天砍人者全数到案', '6548169862714229255', '6548169862714229255')
('麻章镇发生持刀砍人事件 被砍者无生命危险', '6449954547841827086', '6449957301427110413')
('对于纹身男持刀砍人反被砍死的事件，你有什么看法？', '6594976027624079629', '6594976027624079629')
('提刀砍人反被杀，这位《水浒传》人物也是活该', '6595547095707435528', '6595547095707435528')
('“昆山砍人案”——“优先保护防卫者”是人心所向', '6596931032572756488', '6596931032572756488')
('昆山宝马男下车砍人反被砍，他下车砍人，反被人砍了，砍宝马男那个人犯法了吗？如何判定呢？', '6595062186849075459', '6595062186849075459')
